Unidade de Produção,Espécie,Volume Total (m³),Número de Árvores,Preço (R$/m³),Valor Estimado (R$)
AC_150,joao mole,0.391121680611129,5,600.0,234.6730083666774
AC_150,louro,1.1866093483348572,1,600.0,711.9656090009144
AC_150,malva,0.03345990970616769,1,600.0,20.075945823700614
AC_150,manite,3.0853993720371995,1,600.0,1851.2396232223198
AC_150,marfim,7.2802369354625185,4,600.0,4368.142161277511
AC_150,mata mata,2.3486563813425456,4,600.0,1409.1938288055273
AC_150,maçaranduba,2.7743036275266757,1,600.0,1664.5821765160053
AC_150,mulungu,0.9421588685454211,1,650.0,612.4032645545237
AC_150,murmuru,0.2305933615792028,3,600.0,138.35601694752168
AC_150,ninhare,10.35656897998191,3,650.0,6731.769836988242
AC_150,orelha de burro,0.2655296422185985,5,600.0,159.3177853311591
AC_150,ortiga,0.04863362367196581,1,600.0,29.180174203179487
AC_150,palmeira morta,0.12078967729487612,1,600.0,72.47380637692568
AC_150,pama rosa,4.627436182614696,14,600.0,2776.4617095688177
AC_150,pata de vaca,2.84008706416596,2,600.0,1704.052238499576
AC_150,pau darco,2.63279534072669,3,600.0,1579.677204436014
AC_150,pau sangue casca fina,2.820186250343737,8,600.0,1692.111750206242
AC_150,pau vidro,0.0420842606139239,1,600.0,25.250556368354342
AC_150,paxiubao,0.801155463946016,4,600.0,480.6932783676096
AC_150,piaca,0.07284276460820678,1,600.0,43.70565876492407
AC_150,pimenta longa,0.04248935587932722,1,600.0,25.493613527596334
AC_150,pitaica,3.518464022019467,9,600.0,2111.07841321168
AC_150,quariquara,0.16107768432307584,2,600.0,96.64661059384551
AC_150,samauma,0.049463024399687715,1,600.0,29.677814639812627
AC_150,samauma preta,46.97053740927317,1,600.0,28182.322445563903
AC_150,seringueira,0.18080263500603105,2,600.0,108.48158100361863
AC_150,torem,0.13307198007948026,1,600.0,79.84318804768816
AC_150,ucuuba,7.648063901713509,12,600.0,4588.838341028105
AC_150,uricuri,1.6775220816749914,3,600.0,1006.5132490049948
AC_157,amarelao,0.8366497550254202,4,600.0,501.9898530152521
AC_157,angelca amarela,2.163601382392836,3,700.0,1514.520967674985
AC_157,angelim amarelo,2.1038597618220507,2,600.0,1262.3158570932305
AC_157,apui amarelo,2.6475341093090816,1,750.0,1985.6505819818112
AC_157,apui preto,1.1766510777735428,1,600.0,705.9906466641257
AC_157,apui preto miudo,2.1900319078616373,1,600.0,1314.0191447169823
AC_157,araça bravo,0.11418906582886161,3,600.0,68.51343949731697
AC_157,aroeira,1.4663601726615636,1,600.0,879.8161035969382
AC_157,assacu,15.942955665309428,3,600.0,9565.773399185657
AC_157,ata brava,2.482744237759396,1,600.0,1489.6465426556376
AC_157,açai,1.5615748719829599,8,600.0,936.9449231897759
AC_157,bacuri liso,0.14463731703808508,1,600.0,86.78239022285105
AC_157,balsamo,4.330515572107163,3,600.0,2598.3093432642977
AC_157,breu de tucano vermelho,0.047817563787259744,1,600.0,28.690538272355845
AC_157,breu pitomba,0.6697750512622639,4,600.0,401.86503075735834
AC_157,butijao,11.471914477910394,3,600.0,6883.148686746236
AC_157,cabelo de cutia,0.27673904159500146,1,650.0,179.88037703675096
AC_157,cacau da mata,0.059942467390098536,1,600.0,35.965480434059124
AC_157,cacaui,0.05646597217511276,1,600.0,33.879583305067655
AC_157,cacaurana vermelha,0.7390223753065562,1,600.0,443.4134251839337
AC_157,caja,8.352192841585474,3,600.0,5011.315704951285
AC_157,canela de velho,0.030474486878519152,1,650.0,19.80841647103745
AC_157,carapanauba amarela,0.09931658361004381,1,750.0,74.48743770753285
AC_157,caripe vermelho,1.4195543892447096,3,700.0,993.6880724712967
AC_157,castanha de porco,0.2599290154428338,1,600.0,155.95740926570028
AC_157,castanharana amarela,0.2065368873440656,2,600.0,123.92213240643937
AC_157,caucho,1.0349027686100951,2,600.0,620.9416611660571
AC_157,cedro rosa,0.06768951152620237,1,600.0,40.61370691572142
AC_157,cerejeira,5.635126861020613,1,600.0,3381.0761166123675
AC_157,coaçu,2.555838617886,5,650.0,1661.2951016259
AC_157,copaiba amarela,0.30875608055125625,1,800.0,247.004864441005
AC_157,cumaru ferro,3.3575893303058835,1,600.0,2014.55359818353
AC_157,cupiuba,0.08637933800264935,1,600.0,51.82760280158961
AC_157,cupiuba vermelha,0.02723932587810197,1,600.0,16.343595526861183
AC_157,envira conduru,0.5282124718528207,1,600.0,316.9274831116924
AC_157,envira fofa media,0.30246891116478464,1,600.0,181.4813466988708
AC_157,envira orelha de onça,0.08013645481365808,2,600.0,48.08187288819485
AC_157,envira sapotinha,0.3713813696396246,7,600.0,222.82882178377474
AC_157,envira tania,1.0940358608896732,3,600.0,656.4215165338039
AC_157,espinheiro,0.12086751174289062,1,700.0,84.60725822002344
AC_157,farinha seca,0.8477308905384302,2,600.0,508.63853432305814
AC_157,flor de sao joao,0.48316955083980834,2,600.0,289.901730503885
AC_157,imbirindiba amarela,0.03444753266196123,1,750.0,25.835649496470925
AC_157,inga branca,0.17553466791364433,3,600.0,105.3208007481866
AC_157,inga vermelha,1.63935077224384,1,650.0,1065.578001958496
AC_157,ipe amarelo,5.149495533458173,2,600.0,3089.6973200749035
AC_157,ipe amarelo liso,0.35863449407877257,3,600.0,215.18069644726353
AC_157,ipe roxo,0.046094167777765524,1,600.0,27.656500666659316
AC_157,jaca brava,0.14206435188480437,1,650.0,92.34182872512284
AC_157,jaci,7.323945907112493,13,600.0,4394.367544267496
AC_157,jito branco,0.4451239665703318,3,650.0,289.3305782707157
AC_157,joao mole miudo,0.06460926417695438,1,600.0,38.76555850617263
AC_157,laranjinha,1.3922636104143116,2,600.0,835.3581662485869
AC_157,limaozinho,0.6268629183196233,1,650.0,407.4608969077551
AC_157,louro amarelo,0.101032023270013,1,700.0,70.7224162890091
AC_157,macucu roxo,0.662830026464604,2,600.0,397.69801587876236
AC_157,macucu vermelho,0.11112875068364281,1,600.0,66.67725041018568
AC_157,mameleiro vermelho,0.07619113727801119,1,600.0,45.71468236680671
AC_157,maparajuba vermelha,0.04399328814344622,1,650.0,28.595637293240042
AC_157,marfim fedorento,12.293342455438374,2,600.0,7376.005473263024
AC_157,massaranduba,2.905607763481606,1,600.0,1743.3646580889638
AC_157,mororo branco,0.7018555862759197,2,600.0,421.11335176555184
AC_157,mororo vermelho,0.12446929829442123,3,650.0,80.9050438913738
AC_157,morototo,0.03979396024520647,1,650.0,25.866074159384205
AC_157,morta,0.06999461845321321,1,600.0,41.996771071927924
AC_157,muiraximbe branco,1.3350500664078153,2,600.0,801.0300398446892
AC_157,mulateirana,0.042908378335709846,1,700.0,30.035864834996893
AC_157,mulungu,0.24407871484921684,1,650.0,158.65116465199094
