UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_114;4;18;4.368368858;1;174.7347543;40
AC_115;1;1;0.858890262;3;34.35561047;120
AC_115;1;2;0.393503619;2;15.74014476;80
AC_115;1;3;1.138279826;6;45.53119304;240
AC_115;1;4;0.52968468;4;21.18738719;160
AC_115;1;5;0.693786843;3;27.75147374;120
AC_115;1;6;13.91220971;5;556.4883883;200
AC_115;1;7;0.466799779;3;18.67199114;120
AC_115;1;8;1.521821455;7;60.87285821;280
AC_115;1;9;0.557281097;6;22.29124386;240
AC_115;1;10;1.97635599;7;79.05423961;280
AC_115;1;11;1.347474856;1;53.89899424;40
AC_115;1;12;3.31522025;1;132.60881;40
AC_115;1;13;5.993321511;1;239.7328604;40
AC_115;2;1;11.92670019;8;477.0680075;320
AC_115;2;2;1.922807471;3;76.91229884;120
AC_115;2;3;1.780682795;2;71.22731179;80
AC_115;2;4;0.522233818;4;20.88935271;160
AC_115;2;5;0.854244307;4;34.1697723;160
AC_115;2;6;0.052476735;1;2.099069399;40
AC_115;2;7;0.04889676;1;1.955870382;40
AC_115;2;8;2.269526751;3;90.78107003;120
AC_115;2;9;0.44740032;1;17.8960128;40
AC_115;2;10;1.514142965;1;60.5657186;40
AC_115;2;15;3.317334079;1;132.6933632;40
AC_115;2;16;6.296733412;1;251.8693365;40
AC_115;2;18;7.357079287;1;294.2831715;40
AC_115;3;1;0.031960932;1;1.278437286;40
AC_115;3;2;0.430820505;1;17.23282018;40
AC_115;3;3;2.330574472;3;93.22297887;120
AC_115;3;4;0.163120252;2;6.52481009;80
AC_115;3;5;10.01724036;4;400.6896143;160
AC_115;3;6;0.31474364;5;12.58974559;200
AC_115;3;7;9.418137559;6;376.7255024;240
AC_115;3;8;1.921659666;4;76.86638664;160
AC_115;3;9;0.167713961;2;6.708558454;80
AC_115;3;10;4.962439317;6;198.4975727;240
AC_115;3;12;5.031477689;1;201.2591076;40
AC_115;3;15;7.485847762;1;299.4339105;40
AC_115;3;16;2.275755228;1;91.03020913;40
AC_115;4;1;0.06426645;1;2.570658017;40
AC_115;4;2;3.187145075;4;127.485803;160
AC_115;4;4;0.209378237;3;8.375129478;120
